Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference,"('Institution', 'East Division')","('Nickname', 'East Division')","('Location', 'East Division')","('Founded', 'East Division')","('Joined', 'East Division')","('Enrollment', 'East Division')"
,,,,,,,,University of Florida,Gators,"Gainesville, Florida",1853,1932,60613
,,,,,,,,University of Georgia,Bulldogs,"Athens, Georgia",1785,1932,40118
,,,,,,,,University of Kentucky,Wildcats,"Lexington, Kentucky",1865,1932,31536
,,,,,,,,University of Missouri,Tigers,"Columbia, Missouri",1839,2012,29866
,,,,,,,,University of South Carolina,Gamecocks,"Columbia, South Carolina",1801,1991,35388
,,,,,,,,University of Tennessee,Volunteers,"Knoxville, Tennessee",1794,1932,31701
,,,,,,,,Vanderbilt University,Commodores,"Nashville, Tennessee",1873,1932,13796
,,,,,,,,West Division,West Division,West Division,West Division,West Division,West Division
,,,,,,,,University of Alabama,Crimson Tide,"Tuscaloosa, Alabama",1831,1932,38320
,,,,,,,,University of Arkansas,Razorbacks,"Fayetteville, Arkansas",1871,1991,30936
,,,,,,,,Auburn University,Tigers,"Auburn, Alabama",1856,1932,31526
,,,,,,,,Louisiana State University,Tigers,"Baton Rouge, Louisiana",1860,1932,35914
,,,,,,,,University of Mississippi,Rebels,"Oxford, Mississippi",1848,1932,22967
,,,,,,,,Mississippi State University,Bulldogs,"Starkville, Mississippi",1878,1932,22649
,,,,,,,,Texas A&M University,Aggies,"College Station, Texas",1876,2012,73284
